DIA/MES/ANO HORA:MINUTO:SEGUNDO |  TENSÃO | CORRENTE 
11/9/2018/ 0:2:54 |1.84688|0.00975
11/9/2018/ 0:2:55 |1.39688|0.00975
11/9/2018/ 0:2:56 |1.68750|0.01425
11/9/2018/ 0:2:57 |1.77188|0.00937
11/9/2018/ 0:2:58 |1.26563|0.01275
11/9/2018/ 0:2:59 |1.88437|0.01163
11/9/2018/ 0:3:0 |1.28438|0.01087
11/9/2018/ 0:3:1 |1.68750|0.01237
11/9/2018/ 0:3:2 |1.82812|0.00900
11/9/2018/ 0:3:3 |1.27500|0.01425
11/9/2018/ 0:3:4 |1.88437|0.01237
11/9/2018/ 0:3:5 |1.46250|0.01087
11/9/2018/ 0:3:6 |1.35000|0.01350
11/9/2018/ 0:3:7 |1.80937|0.00862
11/9/2018/ 0:3:8 |1.27500|0.01388
11/9/2018/ 0:3:9 |1.81875|0.00937
11/9/2018/ 0:3:10 |1.83750|0.00937
11/9/2018/ 0:3:11 |1.28438|0.01388
11/9/2018/ 0:3:12 |1.86563|0.01200
11/9/2018/ 0:3:13 |1.37813|0.01537
11/9/2018/ 0:3:14 |1.37813|0.01200
11/9/2018/ 0:3:15 |1.79062|0.00937
11/9/2018/ 0:3:16 |1.27500|0.01312
11/9/2018/ 0:3:17 |1.87500|0.01050
11/9/2018/ 0:3:18 |1.36875|0.01388
11/9/2018/ 0:3:19 |1.47188|0.01388
11/9/2018/ 0:3:20 |1.62187|0.01087
11/9/2018/ 0:3:21 |1.26563|0.01425
11/9/2018/ 0:3:22 |1.87500|0.01012
11/9/2018/ 0:3:23 |1.26563|0.01425
11/9/2018/ 0:3:24 |1.67813|0.01087
11/9/2018/ 0:3:25 |1.84688|0.00975
11/9/2018/ 0:3:26 |1.26563|0.01312
11/9/2018/ 0:3:27 |1.78125|0.01087
11/9/2018/ 0:3:28 |1.35000|0.01425
11/9/2018/ 0:3:29 |1.47188|0.01200
11/9/2018/ 0:3:30 |1.51875|0.01087
11/9/2018/ 0:3:31 |1.28438|0.01350
11/9/2018/ 0:3:32 |1.84688|0.00975
11/9/2018/ 0:3:33 |1.19063|0.01388
11/9/2018/ 0:3:34 |1.83750|0.01163
11/9/2018/ 0:3:35 |1.35000|0.01012
11/9/2018/ 0:3:36 |1.36875|0.01388
11/9/2018/ 0:3:37 |1.76250|0.00900
11/9/2018/ 0:3:38 |1.26563|0.01425
11/9/2018/ 0:3:39 |1.89375|0.01125
11/9/2018/ 0:3:40 |1.29375|0.01425
11/9/2018/ 0:3:41 |1.68750|0.01200
11/9/2018/ 0:3:42 |1.46250|0.01575
11/9/2018/ 0:3:43 |1.30313|0.01312
11/9/2018/ 0:3:44 |1.87500|0.00900
11/9/2018/ 0:3:45 |1.36875|0.01350
11/9/2018/ 0:3:46 |1.80000|0.01163
11/9/2018/ 0:3:47 |1.44375|0.01087
11/9/2018/ 0:3:48 |1.24687|0.01312
11/9/2018/ 0:3:49 |1.76250|0.00900
11/9/2018/ 0:3:50 |1.25625|0.01350
11/9/2018/ 0:3:51 |1.89375|0.01087
11/9/2018/ 0:3:52 |1.20938|0.01012
11/9/2018/ 0:3:53 |1.30313|0.01350
11/9/2018/ 0:3:54 |1.34062|0.01425
11/9/2018/ 0:3:55 |1.80937|0.01163
11/9/2018/ 0:3:56 |1.66875|0.01200
11/9/2018/ 0:3:57 |1.33125|0.01650
11/9/2018/ 0:3:58 |1.86563|0.00975
11/9/2018/ 0:3:59 |1.42500|0.01050
11/9/2018/ 0:4:0 |1.65938|0.00975
11/9/2018/ 0:4:1 |1.77188|0.00975
11/9/2018/ 0:4:2 |1.27500|0.01425
11/9/2018/ 0:4:3 |1.94063|0.00975
11/9/2018/ 0:4:4 |1.47188|0.01050
11/9/2018/ 0:4:5 |1.55625|0.01125
11/9/2018/ 0:4:6 |1.83750|0.01012
11/9/2018/ 0:4:7 |1.86563|0.00937
11/9/2018/ 0:4:8 |1.25625|0.01463
11/9/2018/ 0:4:9 |1.69687|0.01237
11/9/2018/ 0:4:10 |1.67813|0.01200
11/9/2018/ 0:4:11 |1.34062|0.01275
11/9/2018/ 0:4:12 |1.77188|0.00975
11/9/2018/ 0:4:13 |1.24687|0.01425
11/9/2018/ 0:4:14 |1.82812|0.01012
11/9/2018/ 0:4:15 |1.44375|0.01050
11/9/2018/ 0:4:16 |1.81875|0.01237
11/9/2018/ 0:4:17 |1.50000|0.01125
11/9/2018/ 0:4:18 |1.49063|0.01275
11/9/2018/ 0:4:19 |1.80937|0.00900
11/9/2018/ 0:4:20 |1.35000|0.01275
11/9/2018/ 0:4:21 |1.88437|0.00937
11/9/2018/ 0:4:22 |1.27500|0.01237
11/9/2018/ 0:4:23 |1.90312|0.01087
11/9/2018/ 0:4:24 |1.35938|0.01012
11/9/2018/ 0:4:25 |1.35938|0.01350
11/9/2018/ 0:4:26 |1.50937|0.00975
11/9/2018/ 0:4:27 |1.24687|0.01425
11/9/2018/ 0:4:28 |1.78125|0.01050
11/9/2018/ 0:4:29 |1.26563|0.01050
11/9/2018/ 0:4:30 |1.57500|0.01237
11/9/2018/ 0:4:31 |1.64062|0.01050
11/9/2018/ 0:4:32 |1.33125|0.01388
11/9/2018/ 0:4:33 |1.87500|0.00975
11/9/2018/ 0:4:34 |1.39688|0.01275
11/9/2018/ 0:4:35 |1.80937|0.00975
11/9/2018/ 0:4:36 |1.31250|0.00937
11/9/2018/ 0:4:37 |1.34062|0.00862
11/9/2018/ 0:4:38 |1.83750|0.01163
11/9/2018/ 0:4:39 |1.50000|0.01125
11/9/2018/ 0:4:40 |1.42500|0.01012
11/9/2018/ 0:4:41 |1.62187|0.00975
11/9/2018/ 0:4:42 |1.30313|0.01425
11/9/2018/ 0:4:43 |1.85625|0.01388
11/9/2018/ 0:4:44 |1.51875|0.01087
11/9/2018/ 0:4:45 |1.35000|0.01350
11/9/2018/ 0:4:46 |1.84688|0.00900
11/9/2018/ 0:4:47 |1.39688|0.01688
11/9/2018/ 0:4:48 |1.76250|0.01163
11/9/2018/ 0:4:49 |1.60312|0.01237
11/9/2018/ 0:4:50 |1.25625|0.01500
11/9/2018/ 0:4:51 |1.81875|0.01087
11/9/2018/ 0:4:52 |1.37813|0.01388
11/9/2018/ 0:4:53 |1.35000|0.01388
11/9/2018/ 0:4:54 |1.81875|0.01163
11/9/2018/ 0:4:55 |1.35000|0.01425
11/9/2018/ 0:4:56 |1.82812|0.00937
11/9/2018/ 0:4:57 |1.74375|0.01163
11/9/2018/ 0:4:58 |1.34062|0.01388
11/9/2018/ 0:4:59 |1.88437|0.01275
11/9/2018/ 0:5:0 |1.37813|0.01613
11/9/2018/ 0:5:1 |1.47188|0.01388
11/9/2018/ 0:5:2 |1.65000|0.01125
11/9/2018/ 0:5:3 |1.33125|0.01388
11/9/2018/ 0:5:4 |1.78125|0.01125
11/9/2018/ 0:5:5 |1.37813|0.01275
11/9/2018/ 0:5:6 |1.49063|0.01388
11/9/2018/ 0:5:7 |1.61250|0.01200
11/9/2018/ 0:5:8 |1.25625|0.01500
11/9/2018/ 0:5:9 |1.55625|0.01312
11/9/2018/ 0:5:10 |1.52812|0.00975
11/9/2018/ 0:5:11 |1.24687|0.01312
11/9/2018/ 0:5:12 |1.87500|0.00975
11/9/2018/ 0:5:13 |1.28438|0.01312
11/9/2018/ 0:5:14 |1.59375|0.01275
11/9/2018/ 0:5:15 |1.64062|0.01087
11/9/2018/ 0:5:16 |1.23750|0.01350
11/9/2018/ 0:5:17 |1.80937|0.01087
11/9/2018/ 0:5:18 |1.28438|0.00975
11/9/2018/ 0:5:19 |1.49063|0.01350
11/9/2018/ 0:5:20 |1.51875|0.01050
11/9/2018/ 0:5:21 |1.26563|0.01163
11/9/2018/ 0:5:22 |1.60312|0.01200
11/9/2018/ 0:5:23 |1.56563|0.01087
11/9/2018/ 0:5:24 |1.26563|0.01275
11/9/2018/ 0:5:25 |1.90312|0.00975
11/9/2018/ 0:5:26 |1.29375|0.01012
11/9/2018/ 0:5:27 |1.60312|0.01312
11/9/2018/ 0:5:28 |1.71562|0.00975
11/9/2018/ 0:5:29 |1.27500|0.01575
11/9/2018/ 0:5:30 |1.76250|0.01012
11/9/2018/ 0:5:31 |1.40625|0.00900
11/9/2018/ 0:5:32 |1.65938|0.01312
11/9/2018/ 0:5:33 |1.80937|0.00900
11/9/2018/ 0:5:34 |1.29375|0.01388
11/9/2018/ 0:5:35 |1.89375|0.01012
11/9/2018/ 0:5:36 |1.50937|0.01012
11/9/2018/ 0:5:37 |1.31250|0.01500
11/9/2018/ 0:5:38 |1.82812|0.01050
11/9/2018/ 0:5:39 |1.36875|0.01012
11/9/2018/ 0:5:40 |1.82812|0.01012
11/9/2018/ 0:5:41 |1.63125|0.01200
11/9/2018/ 0:5:42 |1.37813|0.01163
11/9/2018/ 0:5:43 |1.88437|0.01312
11/9/2018/ 0:5:44 |1.31250|0.01350
11/9/2018/ 0:5:45 |1.82812|0.01125
11/9/2018/ 0:5:46 |1.60312|0.01163
11/9/2018/ 0:5:47 |1.36875|0.01312
11/9/2018/ 0:5:48 |1.80000|0.01050
11/9/2018/ 0:5:49 |1.33125|0.01463
11/9/2018/ 0:5:50 |1.50000|0.01200
11/9/2018/ 0:5:51 |1.59375|0.01087
11/9/2018/ 0:5:52 |1.87500|0.01425
11/9/2018/ 0:5:53 |1.32187|0.01388
11/9/2018/ 0:5:54 |1.54687|0.01537
11/9/2018/ 0:5:55 |1.56563|0.01050
11/9/2018/ 0:5:56 |1.38750|0.01200
11/9/2018/ 0:5:57 |1.91250|0.01012
11/9/2018/ 0:5:58 |1.28438|0.01463
11/9/2018/ 0:5:59 |1.72500|0.01237
11/9/2018/ 0:6:0 |1.43437|0.01012
11/9/2018/ 0:6:1 |1.36875|0.01575
11/9/2018/ 0:6:2 |1.88437|0.00937
11/9/2018/ 0:6:3 |1.30313|0.01425
11/9/2018/ 0:6:4 |1.79062|0.01125
11/9/2018/ 0:6:5 |1.39688|0.01425
11/9/2018/ 0:6:6 |1.47188|0.01463
11/9/2018/ 0:6:7 |1.92187|0.01012
11/9/2018/ 0:6:8 |1.21875|0.01537
11/9/2018/ 0:6:9 |1.79062|0.01050
11/9/2018/ 0:6:10 |1.31250|0.01050
11/9/2018/ 0:6:11 |1.40625|0.01425
11/9/2018/ 0:6:12 |1.84688|0.00937
11/9/2018/ 0:6:13 |1.35000|0.01500
11/9/2018/ 0:6:14 |1.66875|0.01012
11/9/2018/ 0:6:15 |1.33125|0.01312
11/9/2018/ 0:6:16 |1.51875|0.01838
11/9/2018/ 0:6:17 |1.73437|0.01087
11/9/2018/ 0:6:18 |1.35938|0.01463
11/9/2018/ 0:6:19 |1.80937|0.01087
11/9/2018/ 0:6:20 |1.35938|0.01350
11/9/2018/ 0:6:21 |1.30313|0.01275
11/9/2018/ 0:6:22 |1.95000|0.01125
11/9/2018/ 0:6:23 |1.31250|0.01537
11/9/2018/ 0:6:24 |1.57500|0.01275
11/9/2018/ 0:6:25 |1.59375|0.01163
11/9/2018/ 0:6:26 |1.27500|0.00975
11/9/2018/ 0:6:27 |1.85625|0.01125
11/9/2018/ 0:6:28 |1.38750|0.01425
11/9/2018/ 0:6:29 |1.45312|0.01312
11/9/2018/ 0:6:30 |1.66875|0.01237
11/9/2018/ 0:6:31 |1.25625|0.01388
11/9/2018/ 0:6:32 |1.84688|0.01163
11/9/2018/ 0:6:33 |1.61250|0.01012
11/9/2018/ 0:6:34 |1.39688|0.01425
11/9/2018/ 0:6:35 |1.77188|0.00975
11/9/2018/ 0:6:36 |1.61250|0.01050
11/9/2018/ 0:6:37 |1.41562|0.01425
11/9/2018/ 0:6:38 |1.81875|0.00937
11/9/2018/ 0:6:39 |1.32187|0.01425
11/9/2018/ 0:6:40 |1.83750|0.01650
11/9/2018/ 0:6:41 |1.62187|0.01163
11/9/2018/ 0:6:42 |1.35000|0.01425
11/9/2018/ 0:6:43 |1.94063|0.01087
11/9/2018/ 0:6:44 |1.32187|0.01425
11/9/2018/ 0:6:45 |1.88437|0.01125
11/9/2018/ 0:6:46 |1.57500|0.01050
11/9/2018/ 0:6:47 |1.48125|0.01350
11/9/2018/ 0:6:48 |1.78125|0.00975
11/9/2018/ 0:6:49 |1.22812|0.01350
11/9/2018/ 0:6:50 |1.92187|0.01012
11/9/2018/ 0:6:51 |1.67813|0.01350
11/9/2018/ 0:6:52 |1.39688|0.01388
11/9/2018/ 0:6:53 |1.83750|0.01050
11/9/2018/ 0:6:54 |1.30313|0.01312
11/9/2018/ 0:6:55 |1.83750|0.01050
11/9/2018/ 0:6:56 |1.58438|0.01087
11/9/2018/ 0:6:57 |1.44375|0.01613
11/9/2018/ 0:6:58 |1.90312|0.00937
11/9/2018/ 0:6:59 |1.27500|0.01800
11/9/2018/ 0:7:0 |1.55625|0.01275
11/9/2018/ 0:7:1 |1.62187|0.01125
11/9/2018/ 0:7:2 |1.35938|0.01425
11/9/2018/ 0:7:3 |1.88437|0.01125
11/9/2018/ 0:7:4 |1.40625|0.01350
11/9/2018/ 0:7:5 |1.35938|0.01425
11/9/2018/ 0:7:6 |1.88437|0.01125
11/9/2018/ 0:7:7 |1.44375|0.01237
11/9/2018/ 0:7:8 |1.32187|0.01237
11/9/2018/ 0:7:9 |1.88437|0.01163
11/9/2018/ 0:7:10 |1.35000|0.01463
11/9/2018/ 0:7:11 |1.80000|0.00975
11/9/2018/ 0:7:12 |1.29375|0.00975
11/9/2018/ 0:7:13 |1.60312|0.01312
11/9/2018/ 0:7:14 |1.50937|0.01050
11/9/2018/ 0:7:15 |1.24687|0.01350
11/9/2018/ 0:7:16 |1.92187|0.01125
11/9/2018/ 0:7:17 |1.36875|0.01087
11/9/2018/ 0:7:18 |1.41562|0.01388
11/9/2018/ 0:7:19 |1.94063|0.01087
11/9/2018/ 0:7:20 |1.57500|0.01388
11/9/2018/ 0:7:21 |1.45312|0.01575
11/9/2018/ 0:7:22 |1.77188|0.00975
11/9/2018/ 0:7:23 |1.26563|0.01388
11/9/2018/ 0:7:24 |1.76250|0.01087
11/9/2018/ 0:7:25 |1.60312|0.01087
11/9/2018/ 0:7:26 |1.42500|0.01500
11/9/2018/ 0:7:27 |1.86563|0.00975
11/9/2018/ 0:7:28 |1.25625|0.01425
11/9/2018/ 0:7:29 |1.62187|0.01388
11/9/2018/ 0:7:30 |1.63125|0.01087
11/9/2018/ 0:7:31 |1.46250|0.01613
11/9/2018/ 0:7:32 |1.93125|0.00937
11/9/2018/ 0:7:33 |1.22812|0.01425
11/9/2018/ 0:7:34 |1.66875|0.01050
11/9/2018/ 0:7:35 |1.84688|0.00900
11/9/2018/ 0:7:36 |1.22812|0.01163
11/9/2018/ 0:7:37 |1.79062|0.00600
11/9/2018/ 0:7:38 |1.36875|0.00975
11/9/2018/ 0:7:39 |1.34062|0.01275
11/9/2018/ 0:7:40 |1.69687|0.01125
11/9/2018/ 0:7:41 |1.36875|0.01425
11/9/2018/ 0:7:42 |1.80937|0.00937
11/9/2018/ 0:7:43 |1.26563|0.01425
11/9/2018/ 0:7:44 |1.86563|0.01200
11/9/2018/ 0:7:45 |1.40625|0.01087
11/9/2018/ 0:7:46 |1.81875|0.01050
11/9/2018/ 0:7:47 |1.61250|0.01087
11/9/2018/ 0:7:48 |1.47188|0.01388
11/9/2018/ 0:7:49 |1.25625|0.01463
11/9/2018/ 0:7:50 |1.79062|0.01125
11/9/2018/ 0:7:51 |1.52812|0.01012
11/9/2018/ 0:7:52 |1.39688|0.01388
11/9/2018/ 0:7:53 |1.82812|0.01050
11/9/2018/ 0:7:54 |1.35000|0.01425
11/9/2018/ 0:7:55 |1.80937|0.01125
11/9/2018/ 0:7:56 |1.68750|0.00975
11/9/2018/ 0:7:57 |1.27500|0.01163
11/9/2018/ 0:7:58 |1.97812|0.01087
11/9/2018/ 0:7:59 |1.46250|0.01500
11/9/2018/ 0:8:0 |1.39688|0.01913
11/9/2018/ 0:8:1 |1.79062|0.01575
11/9/2018/ 0:8:2 |1.43437|0.00975
11/9/2018/ 0:8:3 |1.58438|0.01200
11/9/2018/ 0:8:4 |1.94063|0.01050
11/9/2018/ 0:8:5 |1.49063|0.01012
11/9/2018/ 0:8:6 |1.57500|0.01200
11/9/2018/ 0:8:7 |1.86563|0.00937
11/9/2018/ 0:8:8 |1.30313|0.01237
11/9/2018/ 0:8:9 |1.88437|0.01050
11/9/2018/ 0:8:10 |1.48125|0.01012
11/9/2018/ 0:8:11 |1.56563|0.01763
11/9/2018/ 0:8:12 |1.86563|0.00937
11/9/2018/ 0:8:13 |1.26563|0.01425
11/9/2018/ 0:8:14 |1.80937|0.01163
11/9/2018/ 0:8:15 |1.28438|0.00900
11/9/2018/ 0:8:16 |1.50000|0.01650
11/9/2018/ 0:8:17 |1.86563|0.00937
11/9/2018/ 0:8:18 |1.27500|0.01312
11/9/2018/ 0:8:19 |1.39688|0.01425
11/9/2018/ 0:8:20 |1.72500|0.00937
11/9/2018/ 0:8:21 |1.29375|0.01350
11/9/2018/ 0:8:22 |1.92187|0.01125
11/9/2018/ 0:8:23 |1.40625|0.01125
11/9/2018/ 0:8:24 |1.39688|0.01388
11/9/2018/ 0:8:25 |1.76250|0.00975
11/9/2018/ 0:8:26 |1.31250|0.01575
11/9/2018/ 0:8:27 |1.82812|0.01200
11/9/2018/ 0:8:28 |1.40625|0.01537
11/9/2018/ 0:8:29 |1.40625|0.01312
11/9/2018/ 0:8:30 |1.75313|0.00937
11/9/2018/ 0:8:31 |1.27500|0.01350
11/9/2018/ 0:8:32 |1.81875|0.01350
11/9/2018/ 0:8:33 |1.36875|0.01425
11/9/2018/ 0:8:34 |1.52812|0.01425
11/9/2018/ 0:8:35 |1.62187|0.01125
11/9/2018/ 0:8:36 |1.24687|0.01425
11/9/2018/ 0:8:37 |1.68750|0.01012
11/9/2018/ 0:8:38 |1.22812|0.01575
11/9/2018/ 0:8:39 |1.51875|0.01312
11/9/2018/ 0:8:40 |1.54687|0.01050
11/9/2018/ 0:8:41 |1.26563|0.01237
11/9/2018/ 0:8:42 |1.85625|0.01050
11/9/2018/ 0:8:43 |1.44375|0.01050
11/9/2018/ 0:8:44 |1.45312|0.01125
11/9/2018/ 0:8:45 |1.67813|0.01275
11/9/2018/ 0:8:46 |1.25625|0.01425
11/9/2018/ 0:8:47 |1.82812|0.01163
11/9/2018/ 0:8:48 |1.88437|0.01012
11/9/2018/ 0:8:49 |1.21875|0.01312
11/9/2018/ 0:8:50 |1.72500|0.01125
11/9/2018/ 0:8:51 |1.39688|0.01050
11/9/2018/ 0:8:52 |1.34062|0.01425
